Elead ID,City,State,Zip,Bought Veh,Bought Veh Model,Bought Veh Trim,Bought Veh Price,Sale Date,Stock#,Vin#
7102625,FORT LAUDERDALE,FL,33312,Land Rover,Range Rover,,68201,10/16/17,15619,SALGS2TF5EA155044
7102626,NEWNAN,GA,30265,BMW,328,i (A8) 4dr Rear-wheel Drive Sedan,24000,10/17/17,15724,WBA3A5C53EP601686
7102627,POWDER SPRINGS,GA,30127,Jeep,Wrangler Unlimited,Sport 4dr 4x4,25389,10/17/17,15633A,1J4HA3H16BL623990
7102630,MYRTLE BEACH,SC,29579,Porsche,Boxster,,48291,10/19/17,15711,WP0CA2A81GS120513
7102631,LOGANVILLE,GA,30052,Mercedes-Benz,CLS-Class,(A7) CLS550 4dr Rear-wheel Drive Sedan,41901,10/21/17,15703,WDDLJ7DB9EA121230
7102659,WESTFIELD,IN,46074,Land Rover,Range Rover Sport,5.0L V8 Supercharged 4dr 4x4,62990,10/21/17,15687A,SALWR2TF6FA511266
7102632,JEFFERSON,GA,30549,Aston Martin,DB9,Base Coupe,36900,10/23/17,15748,SCFAD01A15GA00852
7102633,ATHENS,GA,30605,Porsche,Panamera,GTS 4dr All-wheel Drive Hatchback,77990,10/23/17,15523,WP0AF2A73FL081769
7102634,ELLENWOOD,GA,30294,Mercedes-Benz,S-Class,S550 4dr Rear-wheel Drive Sedan,26890,10/23/17,15666B,WDDNG7DB5CA430455
7097079,ATLANTA,GA,30339,Mercedes-Benz,S-Class,S550 4dr All-wheel Drive 4MATIC Sedan,77390,10/24/17,15558,WDDUG8FB7GA267571
7102635,SWANSEA,SC,29160,Lexus,RX 350,,24401,10/24/17,15378A,2T2BK1BA2DC185870
7102638,NEW YORK,NY,10037,Mercedes-Benz,S-Class,S63 AMG 4dr Sedan,46690,10/24/17,15695,WDDNG7EB4CA430798
